ID;Label;Node Type;Links-/Rechts-Schema
Alternative fuer Deutschland;AfD;Partei;rechts
Buendnis Sahra Wagenknecht;BSW;Partei;links
Christlich Demokratische/Soziale Union;CDU/CSU;Partei;rechts
Die Linke;Die Linke;Partei;links
Die PARTEI;Die PARTEI;Partei;links
Familien-Partei Deutschlands;Familien-Partei;Partei;links
Freie Demokratische Partei;FDP;Partei;rechts
Freie Waehler;FW;Partei;rechts
Buendnis 90/Die Gruenen;Gruene;Partei;links
Oekologisch-Demokratische Partei;OEDP;Partei;links
Partei des Fortschritts;PDF;Partei;links
Sozialdemokratische Partei Deutschlands;SPD;Partei;links
Partei Mensch Umwelt Tierschutz;Tierschutzpartei;Partei;links
Volt Deutschland;Volt;Partei;links
Friedenssicherung;Friedenssicherung;Themengebiet;
Soziale Sicherheit;Soziale Sicherheit;Themengebiet;
Zuwanderung;Zuwanderung;Themengebiet;
Klima- und Umweltschutz;Klima- und Umweltschutz;Themengebiet;
Wirtschaftswachstum;Wirtschaftswachstum;Themengebiet;
Stabilitaet der Währung;Stabilitaet der Währung;Themengebiet;
Verbraucherschutz;Verbraucherschutz;Themengebiet;
